geno,PI,order
DA2/TNT+,-0.35,a
DA2/TNT+,-0.38,a
DA2/TNT+,-0.96,a
DA2/TNT+,0.26,a
DA2/TNT+,0.24,a
DA2/TNT+,0.43,a
DA2/TNT+,1,a
DA2/TNT+,-0.32,a
DA2/TNT+,0.28,a
DA2/TNT+,0.55,a
DA2/TNT+,-0.72,a
DA2/TNT+,0.94,a
DA2/TNT+,-0.82,a
DA2/TNT+,0.86,a
DA2/TNT+,-1,a
DA2/TNT+,0.05,a
DA2/TNT+,-1,a
DA2/TNT+,-0.84,a
DA2/TNT+,0.39,a
DA2/TNT+,0.7,a
DA2/TNT+,0.5,a
DA2/TNT+,-0.98,a
DA2/TNT+,0.86,a
DA2/TNT+,0.99,a
DA2/TNT+,0.41,a
DA2/TNT+,-0.45,a
DA2/TNT+,0.03,a
DA2/TNT+,-0.38,a
DA2/TNT+,-0.21,a
DA2/TNT+,1,a
DA2/TNT+,-0.43,a
DA2/TNT+,0.24,a
DA2/TNT+,0.79,a
DA2/TNT+,0.18,a
DA2/TNT+,0.36,a
DA2/TNT+,0.36,a
DA2/TNT+,0.91,a
DA2/TNT+,0.95,a
DA2/TNT-,-0.66,b
DA2/TNT-,-0.91,b
DA2/TNT-,-0.83,b
DA2/TNT-,0.11,b
DA2/TNT-,-0.86,b
DA2/TNT-,0.6,b
DA2/TNT-,-0.4,b
DA2/TNT-,0.03,b
DA2/TNT-,-0.55,b
DA2/TNT-,0.5,b
DA2/TNT-,-0.18,b
DA2/TNT-,-1,b
DA2/TNT-,0.03,b
DA2/TNT-,-0.87,b
DA2/TNT-,0.34,b
DA2/TNT-,-0.82,b
DA2/TNT-,0.21,b
DA2/TNT-,-0.46,b
DA2/TNT-,-0.65,b
DA2/TNT-,-0.15,b
DA2/TNT-,-0.08,b
DA2/TNT-,-0.61,b
DA2/TNT-,-0.97,b
DA2/TNT-,-1,b
DA2/TNT-,0.18,b
DA2/TNT-,-0.19,b
DA2/TNT-,0.43,b
DA2/TNT-,-0.53,b
DA2/TNT-,-0.91,b
DA2/TNT-,-0.77,b
DA2/TNT-,-0.95,b
DA2/TNT-,0.12,b
DA2/TNT-,-0.58,b
DA2/TNT-,-0.65,b
DA2/TNT-,0.36,b
DA2/TNT-,-0.34,b
DA2/TNT-,-0.7,b
DA2/TNT-,-0.68,b
DA2/+,-0.69,c
DA2/+,-0.5,c
DA2/+,-0.5,c
DA2/+,0.89,c
DA2/+,-1,c
DA2/+,-0.18,c
DA2/+,-0.21,c
DA2/+,-0.1,c
DA2/+,-0.04,c
DA2/+,-0.94,c
DA2/+,-0.62,c
DA2/+,0.19,c
DA2/+,-0.22,c
DA2/+,0.43,c
DA2/+,-1,c
DA2/+,0,c
DA2/+,0,c
DA2/+,-0.2,c
DA2/+,0.01,c
DA2/+,-0.77,c
DA2/+,-0.07,c
DA2/+,-1,c
DA2/+,-1,c
DA2/+,-1,c
DA2/+,-0.68,c
DA2/+,0.84,c
DA2/+,-0.15,c
DA2/+,0.09,c
DA2/+,0.13,c
DA2/+,1,c
DA2/+,-0.64,c
DA2/+,0.41,c
DA2/+,-0.79,c
DA2/+,-1,c
DA2/+,-0.76,c
DA2/+,-1,c
DA2/+,-1,c
DA2/+,-0.85,c
TNT+/+,0.13,d
TNT+/+,-0.07,d
TNT+/+,-1,d
TNT+/+,-0.9,d
TNT+/+,0.97,d
TNT+/+,0.89,d
TNT+/+,-1,d
TNT+/+,-0.45,d
TNT+/+,-1,d
TNT+/+,-0.87,d
TNT+/+,0.09,d
TNT+/+,-0.64,d
TNT+/+,1,d
TNT+/+,-0.25,d
TNT+/+,-0.65,d
TNT+/+,0.31,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-0.95,d
TNT+/+,-1,d
TNT+/+,0.47,d
TNT+/+,1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,0.11,d
TNT+/+,-0.59,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-1,d
TNT+/+,-0.6,d
TNT+/+,-0.61,d
TNT+/+,-0.93,d
TNT+/+,-0.75,d
TNT+/+,-0.69,d
TNT+/+,-1,d
TNT+/+,0.96,d