geno,PI
AV1a1/TNT+,0.69
AV1a1/TNT+,-0.43
AV1a1/TNT+,-0.52
AV1a1/TNT+,0.4
AV1a1/TNT+,0.93
AV1a1/TNT+,-0.98
AV1a1/TNT+,0.06
AV1a1/TNT+,-1
AV1a1/TNT+,0.74
AV1a1/TNT+,0.78
AV1a1/TNT+,-0.55
AV1a1/TNT+,0.75
AV1a1/TNT+,-0.41
AV1a1/TNT+,0.58
AV1a1/TNT+,-0.04
AV1a1/TNT+,-0.03
AV1a1/TNT+,-0.84
AV1a1/TNT+,-0.2
AV1a1/TNT+,0.66
AV1a1/TNT+,-0.43
AV1a1/TNT+,-0.27
AV1a1/TNT+,-1
AV1a1/TNT+,-0.62
AV1a1/TNT+,-0.88
AV1a1/TNT+,-0.63
AV1a1/TNT+,0.84
AV1a1/TNT+,0.75
AV1a1/TNT+,-0.69
AV1a1/TNT+,0.92
AV1a1/TNT+,0.43
AV1a1/TNT+,0.61
AV1a1/TNT+,0.52
AV1a1/TNT+,-0.44
AV1a1/TNT+,-0.66
AV1a1/TNT+,0.81
AV1a1/TNT+,-1
AV1a1/TNT+,-0.66
AV1a1/TNT+,-0.07
AV1a1/TNT-,0.23
AV1a1/TNT-,-0.46
AV1a1/TNT-,-0.37
AV1a1/TNT-,-0.04
AV1a1/TNT-,0.07
AV1a1/TNT-,-0.44
AV1a1/TNT-,-0.86
AV1a1/TNT-,0.07
AV1a1/TNT-,-0.34
AV1a1/TNT-,-1
AV1a1/TNT-,-0.84
AV1a1/TNT-,0.03
AV1a1/TNT-,0.41
AV1a1/TNT-,-0.99
AV1a1/TNT-,-0.47
AV1a1/TNT-,-0.66
AV1a1/TNT-,-0.64
AV1a1/TNT-,-0.67
AV1a1/TNT-,-0.13
AV1a1/TNT-,-0.22
AV1a1/TNT-,-0.43
AV1a1/TNT-,-0.64
AV1a1/TNT-,-1
AV1a1/TNT-,0.11
AV1a1/TNT-,-0.5
AV1a1/TNT-,0.1
AV1a1/TNT-,-0.56
AV1a1/TNT-,-0.53
AV1a1/TNT-,0.3
AV1a1/TNT-,-1
AV1a1/TNT-,-0.44
AV1a1/TNT-,-0.28
AV1a1/TNT-,-0.22
AV1a1/TNT-,-0.22
AV1a1/TNT-,-0.25
AV1a1/TNT-,-0.47
AV1a1/TNT-,-1
AV1a1/TNT-,-1
AV1a1/+,-0.9
AV1a1/+,-0.64
AV1a1/+,-0.57
AV1a1/+,-0.46
AV1a1/+,0.37
AV1a1/+,-0.39
AV1a1/+,-0.67
AV1a1/+,-0.36
AV1a1/+,-0.22
AV1a1/+,-1
AV1a1/+,-1
AV1a1/+,-0.93
AV1a1/+,-0.45
AV1a1/+,-0.93
AV1a1/+,-0.36
AV1a1/+,-0.4
AV1a1/+,0.8
AV1a1/+,-0.12
AV1a1/+,-0.46
AV1a1/+,-0.14
AV1a1/+,-0.93
AV1a1/+,-1
AV1a1/+,-1
AV1a1/+,-1
AV1a1/+,-1
AV1a1/+,1
AV1a1/+,-0.69
AV1a1/+,-0.92
AV1a1/+,0.12
AV1a1/+,-0.4
AV1a1/+,0.02
AV1a1/+,0.22
AV1a1/+,-0.7
AV1a1/+,0.83
AV1a1/+,-0.72
AV1a1/+,-0.75
AV1a1/+,-0.28
AV1a1/+,-0.1
TNT+/+,-0.43
TNT+/+,-0.75
TNT+/+,-0.59
TNT+/+,-0.63
TNT+/+,0.9
TNT+/+,-1
TNT+/+,-0.38
TNT+/+,-0.12
TNT+/+,-0.87
TNT+/+,-0.87
TNT+/+,-0.39
TNT+/+,-1
TNT+/+,-0.6
TNT+/+,-0.61
TNT+/+,0.06
TNT+/+,-1
TNT+/+,-0.92
TNT+/+,-0.75
TNT+/+,-0.69
TNT+/+,-1
TNT+/+,-0.03
TNT+/+,-0.73
TNT+/+,-0.91
TNT+/+,-0.57
TNT+/+,-1
TNT+/+,0.04
TNT+/+,0.65
TNT+/+,0.07
TNT+/+,-0.77
TNT+/+,-0.11
TNT+/+,-0.85
TNT+/+,-0.87
TNT+/+,-0.55
TNT+/+,-0.48
TNT+/+,-0.23
TNT+/+,-0.63
TNT+/+,-0.32
TNT+/+,-0.92